Yellow 1,YellowID,Weight1,Red 2,RedID,Weight2,Lavender 3,LavenderID,Weight3,Blue 4,BlueID,Weight4,Green 5,GreenID,Weight5,Orange 6,OrangeID,Weight6,Grey 7,GreyID,Weight7,Bronze 8,BronzeID,Weight8,Brown9,BrownID,Weight9,Gold 10,GoldID,Weight10,Ruby 11,RubyID,Weight11,Teal 12,TealID,Weight12,Silver 13,SilverID,Weight13,Navy 14,NavyID,Weight14,Pink 16,PinkID,Weight16,Raven 21,RavenID,Weight21,Illini 22,IlliniID,Weight22,Link 24,LinkID,Weight24
Savoy Walmart,MTD5430,0,Lincoln Square,MTD0101,0,Illinois Terminal,MTD3121,0,Illinois Terminal,MTD3121,0,Main and Brady,MTD6357,0,US and 150 & Dodson Dr,MTD2634,0,Urbana Walmart,MTD0127,0,Lincoln Square,MTD0101,0,Parkland College,MTD3534,0,Brownfield and Columbia,MTD3656,0,Lincoln Square,MTD0101,0,Orchard Downs South Shelter,MTD7317,0,Pennsylvania Ave. Residence Hall,MTD5524,0,Illinois Terminal,MTD3121,0,Round Barn Road,MTD4568,0,Vet-Med,MTD5511,0,Pennsylvania Ave. Residence Hall,MD5524,0,Water Survey,MTD1216,0
The Place at 117,MTD7234,6,Florida and Philo,MTD7036,6,Bloomington at Home Depot,MTD7764,11,Transit Plaza,MTD7411,8,Washington and Lierman,MTD7344,7,Butzow and Lierman,MTD2446,3,Main and Brady,MTD6537,2,Pennsylvania and Race,MTD5714,4,Bradley and McKinley,MTD7503,5,High Cross and Kyle,MTD3615,6,Country Club and Willow,MTD2223,5,Pennsylvania Ave. Residence Hall,MTD5524,5,Illini Union,MTD0100,7,Lot E-14,MTD3513,10,Parkland College,MTD3534,10,Pennsylvania Ave. Residence Hall,MTD5524,3,Illinois Street Residence Hall,MTD1444,5,Lot E-14,MTD3513,4
Fox and Windsor,MTD2111,14,Trails and Philo,MTD6424,9,Paula and Mattis,MTD1553,6,State and John,MTD1661,10,Florida and Philo,MTD7036,5,University and Cottage Grove,MTD5343,2,Lincoln Square,MTD0101,8,Windsor and Vine,MTD5295,5,Illinois Terminal,MTD3121,10,Town and Country Apartments,MTD6603,7,Willow and Beason,MTD3841,6,Illini Union,MTD0100,7,Lincoln Square,MTD0101,7,Windsor and Prospect,MTD2641,5,Fieldstone at Horizon Hobby,MTD0600,11,Illini Union,MTD0100,9,Gregory at Library,MTD1455,4,Transit Plaza,MTD7411,8
Lot E-14,MTD3513,7,Urbana Meijer,MTD5053,6,Campbell and Queensway,MTD1611,6,Kirby and Crescent,MTD4573,11,Lincoln Square,MTD0101,7,Lincoln Square,MTD0101,5,Park and Wright,MTD4255,8,Race and Sherwin,MTD0443,3,Transit Plaza,MTD7411,7,Lincoln Square,MTD0101,11,Airport and Cunningham,MTD7442,3,Illinois Terminal,MTD3121,7,NA,NA,-1,Stephens Family YMCA,MTD0209,7,Kirby and Cobblefield,MTD5563,5,Florida Ave. Residence Hall,MTD1366,8,Third and Daniel,MTD4505,8,University and Wright,MTD6365,4
Transit Plaza,MTD7411,9,Florida and Anderson,MTD5305,7,Champaign Walmart,MTD1374,8,Round Barn Road,MTD4568,4,Illini Union,MTD0100,7,Park and Wright,MTD4255,8,Fifth and Beardsley,MTD2054,5,Orchard Downs South Shelter,MTD7317,8,Lot E-14,MTD3513,8,Chemical and Life Sciences,MTD6242,6,NA,NA,-1,NA,NA,-1,NA,NA,-1,Carle at the Fields South,MTD1018,2,Stephens Family YMCA,MTD0209,5,Vet-Med,MTD5511,3,Illini Union,MTD0100,5,NA,NA,-1
Illinois Terminal,MTD3121,9,Illini Union,MTD0100,11,Interstate and Research,MTD4450,4,NA,NA,-1,Illinois Terminal,MTD3121,9,Illinois Terminal,MTD3121,4,Illinois Terminal,MTD3121,7,Transit Plaza,MTD7411,14,Fox and Devonshire,MTD3112,5,Lot E-14,MTD 3513,6,NA,NA,-1,NA,NA,-1,NA,NA,-1,Mullikin and Curtis Meadow,MTD226,8,Duncan and Crestrdge,MTD0269,4,NA,NA,-1,University and Goodwin,MTD1327,4,NA,NA,-1
Market Place,MTD3171,15,Illinois Terminal,MTD3121,7,NA,NA,-1,NA,NA,-1,Springfield and Willis,MTD3315,5,Round Barn Road,MTD4568,17,Bradley and McKinley,MTD7503,7,NA,NA,-1,Windsor and Galen,MTD9396,5,Prospect and Kirby,MTD5725,7,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,Round Barn Road,MTD4568,10,NA,NA,-1,Lincoln and Killarney,MTD4225,7,NA,NA,-1
Champaign Walmart,MTD1374,10,Market Place,MTD3171,14,NA,NA,-1,NA,NA,-1,Round Barn Road,MTD4568,6,Plastipak,MTD3216,5,Parkland College,MTD3534,8,NA,NA,-1,Windsor and Winchester,MTD3511,3,Devonshire and Mayfair,MTD3102,6,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1
NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,Parkland College,MTD3534,6,NA,NA,-1,NA,NA,-1,NA,NA,-1,Round Barn Road,MTD4568,10,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1
NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,Clayton and Pomona,MTD1625,6,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1
NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,Parkland College,MTD3534,4,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1,NA,NA,-1