Name,X,Y
Interstate and Research,290,53
Champaign Walmart,401,56
Campbell and Queensway,314,88
Market Place,475,99
Airport and Cunningham,777,103
Paula and Mattis,277,148
Willow and Beason,720,133
Parkland College,209,181
Bloomington at Home Depot,396,184
Lincoln and Killarney,616,177
Brownfield and Columbia,829,187
High Cross and Kyle,941,184
Bradley and McKinley,360,217
Fifth and Beardsley,538,224
Country Club and Willow,719,215
Clayton and Pomona,180,254
Town and Country Apartments,741,252
Fieldstone at Horizon Hobby,65,303
Plastipak,129,301
Illinois Terminal,485,302
University and Wright,555,300
Park and Wright,558,292
University and Goodwin,586,298
University and Cottage Grove,752,306
Butzow and Lierman,786,290
US and 150 & Dodson Dr,881,318
Main and Brady,897,329
Urbana Walmart,957,343
Round Barn Road,258,339
Springfield and Willis,374,327
State and John,452,355
Third and Daniel,498,362
Transit Plaza,530,371
Illini Union,548,345
Chemical and Life Sciences,584,362
Illinois Street Residence Hall,621,325
Lincoln Square,681,336
Washington and Lierman,791,380
Gregory at Library,558,391
Mullikin and Curtis Meadow,26,438
Kirby and Cobblefield,97,432
Kirby and Crescent,249,437
Prospect and Kirby,386,436
Lot E-14,494,448
Florida Ave. Residence Hall,605,431
Pennsylvania Ave. Residence Hall,604,426
Pennsylvania and Race,668,417
Florida and Anderson,724,435
Florida and Philo,781,435
Devonshire and Mayfair,321,502
Fox and Devonshire,430,501
Vet-Med,601,478
Orchard Downs South Shelter,659,492
Urbana Meijer,795,519
Stephens Family YMCA,80,566
Duncan and Crestridge,174,564
Windsor and Winchester,252,546
Windsor and Galen,364,548
Windsor and Prospect,392,547
Fox and Windsor,435,544
Water Survey,484,536
Windsor and Vine,715,544
Carle at the Fields South,83,622
Trails and Philo,781,591
Race and Sherwin,673,625
The Place at 117,498,671
Savoy Walmart,398,813